TXN-20260422162600-098-000000178 20260422 162600 TRF 000001200000 EUR FR7630001007941234567890185 FR7630006000011234567890189 paiement loyer       BATCH001   
TXN-20260422163112-098-000000179 20260422 163112 TRF 000000085500 EUR FR7630001007941234567890185 FR7630004000031234567890147 facture energie      BATCH001  
TXN-20260422163448-098-000000180 20260422 163448 TRF 000000045990 EUR FR7630001007941234567890185 FR7630007000021234567890112 abonnement internet  BATCH001  
TXN-20260422164003-098-000000181 20260422 164003 TRF 000000250000 EUR FR7630001007941234567890185 FR7630018000012234567890123 remboursement pret   BATCH001  
TXN-20260422164427-098-000000182 20260422 164427 TRF 000000009999 EUR FR7630001007941234567890185 FR7630009000041234567890198 frais dossier       BATCH001  
TXN-20260422164910-098-000000183 20260422 164910 TRF 000003450000 EUR FR7630001007941234567890185 FR7630011000081234567890135 achat vehicule       BATCH001  
TXN-20260422165355-098-000000184 20260422 165355 TRF 000000129000 EUR FR7630001007941234567890185 FR7630012000091234567890176 assurance habitation BATCH001  
TXN-20260422165821-098-000000185 20260422 165821 TRF 000000072350 EUR FR7630001007941234567890185 FR7630013000051234567890164 courses mensuelles   BATCH001  
TXN-20260422170246-098-000000186 20260422 170246 TRF 000000560000 EUR FR7630001007941234567890185 FR7630014000061234567890101 paiement voiture     BATCH001  
TXN-20260422170733-098-000000187 20260422 170733 TRF 000000031200 EUR FR7630001007941234567890185 FR7630015000071234567890182 consultation sante   BATCH001  
TXN-20260422171209-098-000000188 20260422 171209 TRF 000000150000 EUR FR7630001007941234567890185 FR7630016000031234567890149 epargne mensuelle    BATCH001  
TXN-20260422171654-098-000000189 20260422 171654 TRF 000000067890 EUR FR7630001007941234567890185 FR7630017000041234567890157 impots locaux        BATCH001  

